"N","Time","avg(X)","avg(Y)","avg(Z)","avg(concentrations (0))","avg(concentrations (1))","avg(concentrations (2))","avg(concentrations (3))","avg(concentrations (Magnitude))","avg(fa_u (0))","avg(fa_u (1))","avg(fa_u (2))","avg(fa_u (Magnitude))","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(concentrations (0))","max(concentrations (1))","max(concentrations (2))","max(concentrations (3))","max(concentrations (Magnitude))","max(fa_u (0))","max(fa_u (1))","max(fa_u (2))","max(fa_u (Magnitude))","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(concentrations (0))","med(concentrations (1))","med(concentrations (2))","med(concentrations (3))","med(concentrations (Magnitude))","med(fa_u (0))","med(fa_u (1))","med(fa_u (2))","med(fa_u (Magnitude))","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(concentrations (0))","min(concentrations (1))","min(concentrations (2))","min(concentrations (3))","min(concentrations (Magnitude))","min(fa_u (0))","min(fa_u (1))","min(fa_u (2))","min(fa_u (Magnitude))","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(concentrations (0))","q1(concentrations (1))","q1(concentrations (2))","q1(concentrations (3))","q1(concentrations (Magnitude))","q1(fa_u (0))","q1(fa_u (1))","q1(fa_u (2))","q1(fa_u (Magnitude))","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(concentrations (0))","q3(concentrations (1))","q3(concentrations (2))","q3(concentrations (3))","q3(concentrations (Magnitude))","q3(fa_u (0))","q3(fa_u (1))","q3(fa_u (2))","q3(fa_u (Magnitude))","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(concentrations (0))","std(concentrations (1))","std(concentrations (2))","std(concentrations (3))","std(concentrations (Magnitude))","std(fa_u (0))","std(fa_u (1))","std(fa_u (2))","std(fa_u (Magnitude))","std(vtkOriginalPointIds)","vtkValidPointMask"
296,0,0.066083,-0.0068587,0,0,1.0003,0.0332,1.5952,2.6327,1.636e-08,-3.1343e-08,0,0.0010583,147.5,10.053,10.052,0,0,1.0006,0.036518,31.617,31.633,0.0066116,0.006568,-0,0.0067469,295,0.075139,0.019688,0,0,1.0003,0.032877,0.08972,1.0471,1e-08,0,-0,1e-08,147,-9.9511,-9.9511,0,0,1.0001,0.032745,-5.4974,1.0006,-0.0066414,-0.0066458,-0,1e-08,0,-3.9211,-4.0236,0,0,1.0002,0.032841,-0.2171,1.0138,1e-08,0,-0,1e-08,73,3.9998,3.998,0,0,1.0003,0.032933,0.34535,1.1583,1e-08,0,-0,1e-08,221,5.1529,5.1649,0,0,9.3503e-05,0.00080596,5.1903,4.8521,0.0018618,0.0018617,0,0.0024101,85.592,1
296,1,0.0661,-0.0068708,0,0,1.0003,0.054801,0.34157,1.6379,1.428e-08,6.8296e-09,0,0.0010582,147.5,10.052,10.051,0,0,1.0004,0.06562,15.463,15.496,0.0065946,0.0065487,-0,0.0067287,295,0.075219,0.019835,0,0,1.0003,0.053917,-0.061914,1.0456,1e-08,0,-0,1e-08,147,-9.9506,-9.9512,0,0,1,0.053686,-5.8426,1.0017,-0.0067076,-0.0065153,-0,1e-08,0,-3.9212,-4.0238,0,0,1.0002,0.053822,-0.3817,1.0116,1e-08,0,-0,1e-08,73,3.9998,3.9981,0,0,1.0003,0.054132,0.21852,1.1447,1e-08,0,-0,1e-08,221,5.1529,5.165,0,0,4.4806e-05,0.0021541,2.2877,1.9146,0.0018615,0.0018615,0,0.0024097,85.592,1
296,2,0.066098,-0.0068862,0,0,1.0002,0.068822,0.36264,1.4836,6.6232e-09,-7.0717e-09,0,0.0010582,147.5,10.052,10.05,0,0,1.0004,0.08535,10.653,10.7,0.0065938,0.0065834,-0,0.0066817,295,0.075289,0.019732,0,0,1.0002,0.067556,0.026047,1.0978,1e-08,0,-0,1e-08,147,-9.9508,-9.9514,0,0,1,0.06711,-6.1741,1.0024,-0.0066057,-0.0065752,-0,1e-08,0,-3.9213,-4.0239,0,0,1.0002,0.067358,-0.30435,1.0235,1e-08,0,-0,1e-08,73,3.9999,3.9981,0,0,1.0003,0.067749,0.62234,1.2253,1e-08,0,-0,1e-08,221,5.153,5.1651,0,0,4.6284e-05,0.0032011,1.6485,1.2844,0.0018614,0.0018616,0,0.0024097,85.592,1
296,3,0.06609,-0.0068706,0,0,1.0002,0.078089,0.15495,1.3644,7.0913e-09,-3.3721e-09,0,0.0010583,147.5,10.051,10.051,0,0,1.0005,0.09649,8.7218,8.7794,0.006575,0.0065523,-0,0.0066641,295,0.075336,0.019723,0,0,1.0002,0.0765,-0.15885,1.0324,1e-08,0,-0,1e-08,147,-9.9504,-9.9513,0,0,1.0001,0.075814,-4.0125,1.0031,-0.0065249,-0.0065555,-0,1e-08,0,-3.9213,-4.0239,0,0,1.0002,0.076182,-0.30443,1.0127,1e-08,0,-0,1e-08,73,3.9999,3.9981,0,0,1.0002,0.076982,0.10125,1.0767,1e-08,0,-0,1e-08,221,5.1529,5.1651,0,0,4.2788e-05,0.0040328,1.4559,1.1339,0.0018614,0.0018616,0,0.0024097,85.592,1
296,4,0.066071,-0.006886,0,0,1.0002,0.084339,0.13733,1.4419,1.6104e-08,-5.0519e-09,0,0.0010583,147.5,10.052,10.05,0,0,1.0003,0.10271,8.8799,8.9366,0.0066613,0.0065195,-0,0.0067189,295,0.075292,0.019918,0,0,1.0002,0.082547,0.037915,1.0462,1e-08,0,-0,1e-08,147,-9.9499,-9.9505,0,0,1,0.081357,-4.479,1.0035,-0.0066265,-0.0065205,-0,1e-08,0,-3.9213,-4.024,0,0,1.0001,0.082015,-0.44977,1.0112,1e-08,0,-0,1e-08,73,3.9998,3.9981,0,0,1.0002,0.083187,0.24164,1.2739,1e-08,0,-0,1e-08,221,5.1529,5.1651,0,0,3.5552e-05,0.004577,1.4902,1.0792,0.0018615,0.0018617,0,0.0024098,85.592,1
296,5,0.066043,-0.0068707,0,0,1.0001,0.088405,0.44997,1.6018,6.2385e-09,-6.2234e-09,0,0.0010583,147.5,10.051,10.05,0,0,1.0002,0.10732,10.332,10.381,0.0065428,0.0065232,-0,0.0067247,295,0.075174,0.019693,0,0,1.0001,0.086288,-0.07806,1.1315,1e-08,0,-0,1e-08,147,-9.9503,-9.9506,0,0,0.99997,0.084991,-3.7884,1.0038,-0.0066374,-0.0065322,-0,1e-08,0,-3.9212,-4.024,0,0,1.0001,0.08579,-0.52466,1.0342,1e-08,0,-0,1e-08,73,3.9997,3.9982,0,0,1.0001,0.087195,0.51787,1.304,1e-08,0,-0,1e-08,221,5.1527,5.165,0,0,2.9831e-05,0.0050987,1.7916,1.3601,0.0018615,0.0018617,0,0.0024098,85.592,1
296,6,0.066038,-0.0068419,0,0,1,0.091162,0.61137,1.4898,5.526e-09,-6.2894e-09,0,0.0010584,147.5,10.051,10.05,0,0,1.0001,0.11119,8.8763,8.9331,0.0065534,0.0065048,-0,0.0067104,295,0.075171,0.019766,0,0,1,0.08873,0.15168,1.0646,1e-08,0,-0,1e-08,147,-9.9497,-9.9502,0,0,0.99989,0.087406,-1.9828,1.0039,-0.0066915,-0.0065169,-0,1e-08,0,-3.9212,-4.0238,0,0,1,0.088348,-0.20253,1.0207,1e-08,0,-0,1e-08,73,3.9996,3.9982,0,0,1,0.089705,0.74059,1.2958,1e-08,0,-0,1e-08,221,5.1526,5.1648,0,0,3.202e-05,0.0056536,1.4692,1.1482,0.0018616,0.0018617,0,0.0024099,85.592,1
296,7,0.066043,-0.0068308,0,0,0.99991,0.093279,1.0492,1.8886,6.4852e-09,-9.1509e-09,0,0.0010584,147.5,10.05,10.049,0,0,0.99996,0.11389,10.558,10.605,0.0065739,0.006519,-0,0.0066918,295,0.075216,0.020042,0,0,0.99992,0.090552,0.52276,1.2686,1e-08,0,-0,1e-08,147,-9.9492,-9.9497,0,0,0.99977,0.089252,-1.8889,1.004,-0.0066649,-0.0065211,-0,1e-08,0,-3.9211,-4.0236,0,0,0.9999,0.090088,-0.12866,1.0538,1e-08,0,-0,1e-08,73,3.9995,3.9982,0,0,0.99993,0.091775,1.2438,1.6233,1e-08,0,-0,1e-08,221,5.1524,5.1646,0,0,2.8235e-05,0.0062408,2.0753,1.6866,0.0018617,0.0018618,0,0.00241,85.592,1
296,8,0.066049,-0.0068631,0,0,0.99984,0.095128,0.77625,1.898,6.4142e-09,-9.9716e-09,0,0.0010584,147.5,10.05,10.049,0,0,0.99992,0.11476,8.6771,8.7352,0.0065527,0.0065091,-0,0.0067068,295,0.07523,0.019952,0,0,0.99984,0.092291,0.56254,1.389,1e-08,0,-0,1e-08,147,-9.9488,-9.9493,0,0,0.99976,0.090411,-3.9622,1.0041,-0.0066635,-0.0065061,-0,1e-08,0,-3.921,-4.0236,0,0,0.99982,0.091773,-0.59037,1.1534,1e-08,0,-0,1e-08,73,3.9994,3.998,0,0,0.99985,0.093308,1.4414,1.9101,1e-08,0,-0,1e-08,221,5.1522,5.1644,0,0,2.6227e-05,0.0066679,1.9839,1.392,0.0018617,0.0018619,0,0.0024101,85.592,1
296,9,0.06604,-0.0068819,0,0,0.99973,0.096749,0.65299,1.9269,9.821e-09,-9.6678e-09,0,0.0010585,147.5,10.049,10.048,0,0,0.9998,0.11856,8.0556,8.1182,0.0065764,0.0065244,-0,0.0066723,295,0.075366,0.020017,0,0,0.99973,0.09358,0.098541,1.3122,1e-08,0,-0,1e-08,147,-9.9482,-9.9489,0,0,0.99963,0.09175,-3.1117,1.004,-0.0066219,-0.0065209,-0,1e-08,0,-3.9209,-4.0235,0,0,0.99972,0.092856,-0.65306,1.0491,1e-08,0,-0,1e-08,73,3.9995,3.9979,0,0,0.99975,0.09498,1.1308,1.9804,1e-08,0,-0,1e-08,221,5.152,5.1642,0,0,2.1162e-05,0.0072821,2.1515,1.5309,0.0018619,0.001862,0,0.0024102,85.592,1
