"N","Time","avg(X)","avg(Y)","avg(Z)","avg(concentrations (0))","avg(concentrations (1))","avg(concentrations (2))","avg(concentrations (3))","avg(concentrations (Magnitude))","avg(fa_u (0))","avg(fa_u (1))","avg(fa_u (2))","avg(fa_u (Magnitude))","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(concentrations (0))","max(concentrations (1))","max(concentrations (2))","max(concentrations (3))","max(concentrations (Magnitude))","max(fa_u (0))","max(fa_u (1))","max(fa_u (2))","max(fa_u (Magnitude))","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(concentrations (0))","med(concentrations (1))","med(concentrations (2))","med(concentrations (3))","med(concentrations (Magnitude))","med(fa_u (0))","med(fa_u (1))","med(fa_u (2))","med(fa_u (Magnitude))","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(concentrations (0))","min(concentrations (1))","min(concentrations (2))","min(concentrations (3))","min(concentrations (Magnitude))","min(fa_u (0))","min(fa_u (1))","min(fa_u (2))","min(fa_u (Magnitude))","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(concentrations (0))","q1(concentrations (1))","q1(concentrations (2))","q1(concentrations (3))","q1(concentrations (Magnitude))","q1(fa_u (0))","q1(fa_u (1))","q1(fa_u (2))","q1(fa_u (Magnitude))","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(concentrations (0))","q3(concentrations (1))","q3(concentrations (2))","q3(concentrations (3))","q3(concentrations (Magnitude))","q3(fa_u (0))","q3(fa_u (1))","q3(fa_u (2))","q3(fa_u (Magnitude))","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(concentrations (0))","std(concentrations (1))","std(concentrations (2))","std(concentrations (3))","std(concentrations (Magnitude))","std(fa_u (0))","std(fa_u (1))","std(fa_u (2))","std(fa_u (Magnitude))","std(vtkOriginalPointIds)","vtkValidPointMask"
296,0,0.066135,-0.0067369,0,0,1.0014,0.032618,24.286,24.402,1.1507e-08,-3.9332e-07,0,0.0010615,147.5,10.062,10.061,0,0,1.0025,0.034263,252.18,252.18,0.0073678,0.0072163,-0,0.0079901,295,0.074703,0.019811,0,0,1.0014,0.032476,8.1311,8.1926,1e-08,0,-0,1e-08,147,-9.9524,-9.955,0,0,1.0005,0.03243,0.25493,1.033,-0.0069541,-0.0077941,-0,1e-08,0,-3.9209,-4.0233,0,0,1.001,0.032445,3.1396,3.2955,1e-08,0,-0,1e-08,73,3.9997,3.9979,0,0,1.0018,0.032508,12.434,12.474,1e-08,0,-0,1e-08,221,5.1537,5.1656,0,0,0.00051743,0.00040368,49.052,49.005,0.0018782,0.0018832,0,0.0024379,85.592,1
296,1,0.066083,-0.006808,0,0,1.0006,0.05393,13.361,13.569,-8.9153e-07,3.2249e-07,0,0.001061,147.5,10.054,10.052,0,0,1.0012,0.058204,197.4,197.41,0.0070294,0.0073172,-0,0.0080906,295,0.074778,0.019806,0,0,1.0007,0.053569,2.8212,2.9939,1e-08,0,-0,1e-08,147,-9.9524,-9.9577,0,0,0.99971,0.053312,0.13429,1.0108,-0.0076367,-0.0071437,-0,1e-08,0,-3.9209,-4.0234,0,0,1.0004,0.053472,1.6824,1.9583,1e-08,0,-0,1e-08,73,3.9998,3.998,0,0,1.0009,0.053666,4.7878,4.8914,1e-08,0,-0,1e-08,221,5.1531,5.1651,0,0,0.00033281,0.00099755,30.427,30.351,0.0018783,0.0018748,0,0.0024317,85.592,1
296,2,0.066064,-0.0067834,0,0,1.0008,0.067652,9.0774,9.3027,-3.0072e-07,-1.7832e-07,0,0.0010607,147.5,10.057,10.057,0,0,1.0013,0.074744,140.74,140.75,0.0070923,0.006858,-0,0.0080829,295,0.074686,0.019818,0,0,1.0008,0.067142,2.6114,2.7974,1e-08,0,-0,1e-08,147,-9.9494,-9.9554,0,0,1.0002,0.066776,0.17253,1.0175,-0.0069566,-0.0073859,-0,1e-08,0,-3.9208,-4.0232,0,0,1.0007,0.066989,1.5539,1.8495,1e-08,0,-0,1e-08,73,3.9997,3.9978,0,0,1.0008,0.067314,4.0778,4.1994,1e-08,0,-0,1e-08,221,5.1532,5.1651,0,0,0.00017199,0.0014172,20.93,20.855,0.0018764,0.0018751,0,0.0024306,85.592,1
296,3,0.066008,-0.0067588,0,0,1.0003,0.076562,13.28,13.497,-1.7141e-07,7.7193e-07,0,0.001061,147.5,10.052,10.05,0,0,1.0008,0.088043,202.12,202.12,0.0070973,0.0077362,-0,0.008071,295,0.074723,0.019758,0,0,1.0003,0.075782,3.2453,3.3968,1e-08,0,-0,1e-08,147,-9.9516,-9.9519,0,0,0.99983,0.07544,0.24864,1.0337,-0.0075339,-0.0071407,-0,1e-08,0,-3.9208,-4.0232,0,0,1.0002,0.075625,1.2926,1.6363,1e-08,0,-0,1e-08,73,3.9994,3.9977,0,0,1.0005,0.076022,6.4758,6.553,1e-08,0,-0,1e-08,221,5.1527,5.1648,0,0,0.00018971,0.0020216,31.098,31.02,0.001879,0.001874,0,0.0024317,85.592,1
296,4,0.065984,-0.0068155,0,0,1.0001,0.082398,13.601,13.855,-2.4252e-08,1.7794e-07,0,0.0010614,147.5,10.053,10.055,0,0,1.0006,0.091761,176.95,176.96,0.007383,0.007598,-0,0.0078091,295,0.074678,0.019824,0,0,1.0002,0.081353,2.3004,2.5098,1e-08,0,-0,1e-08,147,-9.9472,-9.955,0,0,0.9993,0.080995,0.20582,1.0242,-0.0070042,-0.0077553,-0,1e-08,0,-3.9208,-4.0232,0,0,0.99999,0.08119,1.0256,1.4348,1e-08,0,-0,1e-08,73,3.9996,3.9978,0,0,1.0003,0.081608,5.5653,5.655,1e-08,0,-0,1e-08,221,5.1525,5.1646,0,0,0.00023758,0.0025231,31.762,31.668,0.0018745,0.0018809,0,0.0024334,85.592,1
296,5,0.066007,-0.0067989,0,0,0.99978,0.086268,16.071,16.26,3.3344e-08,2.4117e-07,0,0.0010605,147.5,10.048,10.051,0,0,1.0004,0.097709,213.09,213.09,0.0069185,0.0069584,-0,0.0078877,295,0.074615,0.019768,0,0,0.99985,0.084892,2.7878,2.9629,1e-08,0,-0,1e-08,147,-9.9463,-9.9517,0,0,0.99901,0.084569,0.20325,1.0238,-0.0072551,-0.007084,-0,1e-08,0,-3.9208,-4.0231,0,0,0.99967,0.084728,1.9185,2.165,1e-08,0,-0,1e-08,73,3.9993,3.9975,0,0,0.99993,0.085189,5.6287,5.7175,1e-08,0,-0,1e-08,221,5.1521,5.1642,0,0,0.00022481,0.0032492,37.565,37.497,0.0018736,0.0018715,0,0.0024258,85.592,1
296,6,0.066003,-0.0068187,0,0,0.99952,0.088807,16.387,16.619,-7.0755e-07,4.8982e-07,0,0.0010621,147.5,10.048,10.049,0,0,1.0001,0.10129,214.57,214.57,0.007173,0.0074629,-0,0.0084447,295,0.074722,0.019779,0,0,0.99957,0.087156,2.165,2.3862,1e-08,0,-0,1e-08,147,-9.9437,-9.9488,0,0,0.99897,0.08687,0.35831,1.0655,-0.0078123,-0.0070815,-0,1e-08,0,-3.9204,-4.023,0,0,0.99937,0.087018,1.3778,1.7045,1e-08,0,-0,1e-08,73,3.9994,3.9976,0,0,0.99967,0.087507,4.9487,5.0494,1e-08,0,-0,1e-08,221,5.1518,5.164,0,0,0.00020229,0.0038075,38.969,38.884,0.0018848,0.0018759,0,0.0024372,85.592,1
296,7,0.06598,-0.0068051,0,0,0.99907,0.090716,20.32,20.529,1.7558e-07,4.6737e-07,0,0.0010614,147.5,10.046,10.048,0,0,0.99944,0.10484,235.05,235.05,0.0071615,0.0078402,-0,0.0079106,295,0.074658,0.019752,0,0,0.99912,0.088632,2.5925,2.7797,1e-08,0,-0,1e-08,147,-9.9418,-9.9467,0,0,0.9981,0.088353,0.12049,1.0103,-0.0073701,-0.0075697,-0,1e-08,0,-3.9207,-4.023,0,0,0.99897,0.088486,1.4813,1.7889,1e-08,0,-0,1e-08,73,3.9991,3.9974,0,0,0.99921,0.089044,5.2551,5.3502,1e-08,0,-0,1e-08,221,5.1514,5.1635,0,0,0.00020807,0.0047393,46.265,46.183,0.0018749,0.0018774,0,0.0024309,85.592,1
296,8,0.065962,-0.006769,0,0,0.99879,0.091941,21.165,21.451,-4.2675e-07,8.8382e-07,0,0.0010625,147.5,10.042,10.045,0,0,0.99943,0.10879,215.95,215.95,0.0076615,0.0068853,-0,0.0085007,295,0.074626,0.019805,0,0,0.99883,0.089557,1.7341,2.0032,1e-08,0,-0,1e-08,147,-9.941,-9.947,0,0,0.99797,0.089315,0.2138,1.0255,-0.0078589,-0.0069624,-0,1e-08,0,-3.9204,-4.0228,0,0,0.99863,0.089413,0.88394,1.3369,1e-08,0,-0,1e-08,73,3.999,3.9972,0,0,0.99897,0.090005,4.847,4.9496,1e-08,0,-0,1e-08,221,5.1511,5.1632,0,0,0.00023403,0.0054112,47.798,47.681,0.0018884,0.0018752,0,0.0024391,85.592,1
296,9,0.065902,-0.0067311,0,0,0.99841,0.09302,21.754,21.982,-4.5993e-07,1.0394e-07,0,0.001063,147.5,10.047,10.047,0,0,0.99889,0.11254,259.92,259.92,0.0074284,0.0076866,-0,0.008174,295,0.074699,0.019803,0,0,0.99845,0.090178,2.5882,2.7755,1e-08,0,-0,1e-08,147,-9.942,-9.9421,0,0,0.99764,0.089915,0.054029,1.004,-0.0075123,-0.0075674,-0,1e-08,0,-3.9202,-4.0226,0,0,0.99833,0.090016,1.6268,1.9109,1e-08,0,-0,1e-08,73,3.9989,3.9971,0,0,0.99852,0.090635,4.7915,4.8952,1e-08,0,-0,1e-08,221,5.1506,5.1627,0,0,0.00019934,0.0064305,51.734,51.647,0.001883,0.001884,0,0.0024416,85.592,1
