"N","Time","avg(X)","avg(Y)","avg(Z)","avg(concentrations (0))","avg(concentrations (1))","avg(concentrations (2))","avg(concentrations (3))","avg(concentrations (Magnitude))","avg(fa_u (0))","avg(fa_u (1))","avg(fa_u (2))","avg(fa_u (Magnitude))","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(concentrations (0))","max(concentrations (1))","max(concentrations (2))","max(concentrations (3))","max(concentrations (Magnitude))","max(fa_u (0))","max(fa_u (1))","max(fa_u (2))","max(fa_u (Magnitude))","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(concentrations (0))","med(concentrations (1))","med(concentrations (2))","med(concentrations (3))","med(concentrations (Magnitude))","med(fa_u (0))","med(fa_u (1))","med(fa_u (2))","med(fa_u (Magnitude))","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(concentrations (0))","min(concentrations (1))","min(concentrations (2))","min(concentrations (3))","min(concentrations (Magnitude))","min(fa_u (0))","min(fa_u (1))","min(fa_u (2))","min(fa_u (Magnitude))","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(concentrations (0))","q1(concentrations (1))","q1(concentrations (2))","q1(concentrations (3))","q1(concentrations (Magnitude))","q1(fa_u (0))","q1(fa_u (1))","q1(fa_u (2))","q1(fa_u (Magnitude))","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(concentrations (0))","q3(concentrations (1))","q3(concentrations (2))","q3(concentrations (3))","q3(concentrations (Magnitude))","q3(fa_u (0))","q3(fa_u (1))","q3(fa_u (2))","q3(fa_u (Magnitude))","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(concentrations (0))","std(concentrations (1))","std(concentrations (2))","std(concentrations (3))","std(concentrations (Magnitude))","std(fa_u (0))","std(fa_u (1))","std(fa_u (2))","std(fa_u (Magnitude))","std(vtkOriginalPointIds)","vtkValidPointMask"
296,0,0.06606,-0.0068371,0,0,1.0003,0.033221,7.6007,7.6744,-4.0006e-09,-5.0932e-10,0,0.0010583,147.5,10.052,10.052,0,0,1.0005,0.03618,27.727,27.745,0.006519,0.0066664,-0,0.006787,295,0.075115,0.019796,0,0,1.0003,0.032868,7.1357,7.2056,1e-08,0,-0,1e-08,147,-9.9511,-9.9523,0,0,1.0001,0.032798,0.94718,1.378,-0.006787,-0.0066227,-0,1e-08,0,-3.9211,-4.0236,0,0,1.0002,0.03284,6.9206,6.9926,1e-08,0,-0,1e-08,73,3.9998,3.998,0,0,1.0003,0.032933,7.4384,7.5054,1e-08,0,-0,1e-08,221,5.1529,5.1649,0,0,6.5251e-05,0.00084885,2.7677,2.7452,0.0018617,0.0018616,0,0.0024099,85.592,1
296,1,0.066063,-0.0068399,0,0,1.0003,0.054754,7.7745,7.8421,1.5256e-08,3.5494e-09,0,0.0010583,147.5,10.052,10.051,0,0,1.0004,0.062018,22.682,22.704,0.0066304,0.0066029,-0,0.006752,295,0.075176,0.019809,0,0,1.0003,0.05385,7.1535,7.2233,1e-08,0,-0,1e-08,147,-9.9517,-9.9517,0,0,1.0001,0.053635,2.5719,2.7602,-0.0067144,-0.0065814,-0,1e-08,0,-3.9212,-4.0237,0,0,1.0002,0.053791,6.911,6.9833,1e-08,0,-0,1e-08,73,3.9998,3.9981,0,0,1.0003,0.053947,7.3305,7.3986,1e-08,0,-0,1e-08,221,5.153,5.165,0,0,5.454e-05,0.0021492,2.3386,2.3274,0.0018616,0.0018615,0,0.0024098,85.592,1
296,2,0.066057,-0.0068548,0,0,1.0002,0.068717,7.5574,7.6259,1.0596e-08,4.4456e-09,0,0.0010582,147.5,10.051,10.052,0,0,1.0004,0.079967,17.041,17.071,0.0065542,0.0066205,-0,0.0067861,295,0.075215,0.019745,0,0,1.0003,0.067417,7.1849,7.2546,1e-08,0,-0,1e-08,147,-9.9514,-9.9521,0,0,1,0.067068,3.0048,3.1678,-0.0066319,-0.0065816,-0,1e-08,0,-3.9213,-4.0238,0,0,1.0002,0.067289,6.8481,6.9211,1e-08,0,-0,1e-08,73,3.9998,3.9981,0,0,1.0003,0.067634,7.5625,7.6287,1e-08,0,-0,1e-08,221,5.153,5.1651,0,0,5.613e-05,0.0030912,1.6573,1.6467,0.0018614,0.0018615,0,0.0024097,85.592,1
296,3,0.066043,-0.0068658,0,0,1.0002,0.07786,7.5155,7.5844,1.7943e-08,3.9678e-09,0,0.0010583,147.5,10.051,10.051,0,0,1.0003,0.091011,20.398,20.423,0.0065968,0.0066371,-0,0.0068042,295,0.075236,0.019888,0,0,1.0002,0.076246,7.0981,7.1686,1e-08,0,-0,1e-08,147,-9.9512,-9.9519,0,0,1.0001,0.075787,3.1104,3.2684,-0.0066447,-0.006542,-0,1e-08,0,-3.9214,-4.0239,0,0,1.0002,0.076039,6.7299,6.8043,1e-08,0,-0,1e-08,73,3.9998,3.9981,0,0,1.0002,0.076618,7.467,7.5341,1e-08,0,-0,1e-08,221,5.153,5.165,0,0,3.3698e-05,0.0038593,1.7353,1.7256,0.0018616,0.0018616,0,0.0024098,85.592,1
296,4,0.066028,-0.0068743,0,0,1.0001,0.083999,7.5748,7.6434,9.1008e-10,-8.0874e-09,0,0.0010583,147.5,10.051,10.052,0,0,1.0002,0.098336,18.808,18.834,0.0066013,0.0065416,-0,0.0066798,295,0.075261,0.019907,0,0,1.0001,0.082188,7.0756,7.1464,1e-08,0,-0,1e-08,147,-9.9509,-9.9512,0,0,1,0.081274,2.9896,3.1538,-0.0066718,-0.0066609,-0,1e-08,0,-3.9214,-4.0239,0,0,1.0001,0.081871,6.8973,6.9699,1e-08,0,-0,1e-08,73,3.9997,3.9981,0,0,1.0002,0.082535,7.2897,7.3584,1e-08,0,-0,1e-08,221,5.1529,5.165,0,0,3.2201e-05,0.0044958,1.8337,1.8236,0.0018616,0.0018616,0,0.0024098,85.592,1
296,5,0.066018,-0.0068784,0,0,1.0001,0.088137,7.6541,7.7221,1.1104e-08,-7.5997e-09,0,0.0010583,147.5,10.051,10.051,0,0,1.0002,0.10417,16.95,16.979,0.0065535,0.0065837,-0,0.0066931,295,0.075325,0.01997,0,0,1.0001,0.086112,7.1802,7.25,1e-08,0,-0,1e-08,147,-9.9505,-9.951,0,0,0.99998,0.084999,4.0143,4.1382,-0.0066504,-0.0065746,-0,1e-08,0,-3.9213,-4.0239,0,0,1.0001,0.085682,6.7323,6.8068,1e-08,0,-0,1e-08,73,3.9998,3.998,0,0,1.0001,0.086742,7.629,7.6947,1e-08,0,-0,1e-08,221,5.1528,5.1649,0,0,3.5341e-05,0.0049734,1.8203,1.81,0.0018616,0.0018616,0,0.0024098,85.592,1
296,6,0.066011,-0.00688,0,0,1,0.091094,7.7181,7.7851,5.4004e-09,-8.8835e-10,0,0.0010584,147.5,10.05,10.05,0,0,1.0001,0.10844,18.111,18.139,0.0065696,0.0066289,-0,0.0067074,295,0.07539,0.019957,0,0,1,0.0889,7.4627,7.53,1e-08,0,-0,1e-08,147,-9.9503,-9.9509,0,0,0.9999,0.087543,4.7706,4.8755,-0.0066409,-0.0066215,-0,1e-08,0,-3.9213,-4.0239,0,0,1,0.088426,6.8047,6.8784,1e-08,0,-0,1e-08,73,3.9998,3.998,0,0,1,0.08954,8.024,8.0867,1e-08,0,-0,1e-08,221,5.1527,5.1648,0,0,2.459e-05,0.0053645,1.5503,1.5405,0.0018616,0.0018617,0,0.0024099,85.592,1
296,7,0.066027,-0.0068487,0,0,0.99993,0.093427,7.8096,7.8768,5.8167e-09,-5.1206e-09,0,0.0010584,147.5,10.05,10.05,0,0,1,0.11155,14.838,14.872,0.0065813,0.0066219,-0,0.0066889,295,0.075479,0.019966,0,0,0.99993,0.090998,7.404,7.4718,1e-08,0,-0,1e-08,147,-9.95,-9.9504,0,0,0.99982,0.089345,4.6637,4.7706,-0.0066476,-0.006655,-0,1e-08,0,-3.9213,-4.0238,0,0,0.99992,0.090489,6.7893,6.8632,1e-08,0,-0,1e-08,73,3.9998,3.998,0,0,0.99995,0.091828,8.2147,8.2759,1e-08,0,-0,1e-08,221,5.1525,5.1646,0,0,2.457e-05,0.0059229,1.8651,1.8526,0.0018617,0.0018617,0,0.00241,85.592,1
296,8,0.066046,-0.0068147,0,0,0.99985,0.095202,7.9386,8.0044,5.0492e-09,-4.2274e-09,0,0.0010584,147.5,10.049,10.05,0,0,0.9999,0.11382,13.652,13.689,0.0065931,0.0066015,-0,0.0067093,295,0.075582,0.019943,0,0,0.99985,0.092567,7.5017,7.5686,1e-08,0,-0,1e-08,147,-9.9495,-9.9498,0,0,0.99977,0.090462,4.9643,5.0648,-0.0066553,-0.0066138,-0,1e-08,0,-3.9212,-4.0234,0,0,0.99984,0.091865,6.8457,6.919,1e-08,0,-0,1e-08,73,3.9998,3.9979,0,0,0.99986,0.093583,8.5505,8.6092,1e-08,0,-0,1e-08,221,5.1523,5.1644,0,0,2.1369e-05,0.0064388,1.7251,1.7133,0.0018618,0.0018619,0,0.0024101,85.592,1
296,9,0.066057,-0.0068183,0,0,0.99975,0.096472,7.5668,7.637,6.0606e-09,-7.5853e-09,0,0.0010585,147.5,10.049,10.05,0,0,0.99982,0.11679,17.969,17.997,0.0065703,0.0066327,-0,0.0066855,295,0.075597,0.019747,0,0,0.99975,0.093428,7.038,7.1092,1e-08,0,-0,1e-08,147,-9.9488,-9.9494,0,0,0.99965,0.09134,3.4669,3.6095,-0.0066337,-0.006661,-0,1e-08,0,-3.921,-4.0232,0,0,0.99974,0.092708,6.4383,6.5162,1e-08,0,-0,1e-08,73,3.9996,3.9977,0,0,0.99976,0.094937,7.7703,7.835,1e-08,0,-0,1e-08,221,5.1521,5.1641,0,0,2.0752e-05,0.0071837,2.1633,2.1496,0.0018618,0.001862,0,0.0024102,85.592,1
