"N","Time","avg(X)","avg(Y)","avg(Z)","avg(concentrations (0))","avg(concentrations (1))","avg(concentrations (2))","avg(concentrations (3))","avg(concentrations (Magnitude))","avg(fa_u (0))","avg(fa_u (1))","avg(fa_u (2))","avg(fa_u (Magnitude))","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(concentrations (0))","max(concentrations (1))","max(concentrations (2))","max(concentrations (3))","max(concentrations (Magnitude))","max(fa_u (0))","max(fa_u (1))","max(fa_u (2))","max(fa_u (Magnitude))","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(concentrations (0))","med(concentrations (1))","med(concentrations (2))","med(concentrations (3))","med(concentrations (Magnitude))","med(fa_u (0))","med(fa_u (1))","med(fa_u (2))","med(fa_u (Magnitude))","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(concentrations (0))","min(concentrations (1))","min(concentrations (2))","min(concentrations (3))","min(concentrations (Magnitude))","min(fa_u (0))","min(fa_u (1))","min(fa_u (2))","min(fa_u (Magnitude))","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(concentrations (0))","q1(concentrations (1))","q1(concentrations (2))","q1(concentrations (3))","q1(concentrations (Magnitude))","q1(fa_u (0))","q1(fa_u (1))","q1(fa_u (2))","q1(fa_u (Magnitude))","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(concentrations (0))","q3(concentrations (1))","q3(concentrations (2))","q3(concentrations (3))","q3(concentrations (Magnitude))","q3(fa_u (0))","q3(fa_u (1))","q3(fa_u (2))","q3(fa_u (Magnitude))","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(concentrations (0))","std(concentrations (1))","std(concentrations (2))","std(concentrations (3))","std(concentrations (Magnitude))","std(fa_u (0))","std(fa_u (1))","std(fa_u (2))","std(fa_u (Magnitude))","std(vtkOriginalPointIds)","vtkValidPointMask"
296,0,0.065979,-0.0068229,0,0,0.99986,0.032442,0.090713,1.0218,7.1813e-07,5.9226e-07,0,9.0713e-05,147.5,10.049,10.049,0,0,1,0.03251,0.55308,1.143,0.0005321,0.00053421,0,0.00055308,295,0.074662,0.019809,0,0,0.99989,0.03243,0.0052357,1.0005,6.4334e-09,1.2976e-08,0,5.2357e-06,147,-9.9494,-9.9494,0,0,0.99971,0.032429,0.00013173,1.0004,-0.00052411,-0.00052802,0,1.3173e-07,0,-3.9208,-4.0231,0,0,0.99976,0.032429,0.00039603,1.0004,-3.1737e-06,-3.1618e-06,0,3.9603e-07,73,3.9994,3.9976,0,0,0.99996,0.03243,0.014102,1.0005,3.3891e-06,3.4291e-06,0,1.4102e-05,221,5.1522,5.1643,0,0,9.6086e-05,2.8295e-05,0.19352,0.048541,0.00015109,0.00015125,0,0.00019352,85.592,1
296,1,0.065981,-0.0068196,0,0,0.99939,0.053565,0.37595,1.1709,1.5953e-06,2.8174e-06,0,0.00037595,147.5,10.047,10.047,0,0,0.99964,0.054709,1.8015,2.0608,0.0017491,0.0017498,0,0.0018015,295,0.074664,0.01981,0,0,0.9994,0.053368,0.14164,1.0108,7.8391e-08,5.2256e-07,0,0.00014164,147,-9.947,-9.947,0,0,0.99923,0.053289,0.0085843,1.0011,-0.0017438,-0.00175,0,8.5843e-06,0,-3.9207,-4.023,0,0,0.99927,0.053319,0.068167,1.0033,-7.4538e-05,-7.6576e-05,0,6.8167e-05,73,3.9992,3.9975,0,0,0.99951,0.053389,0.16083,1.0136,7.8245e-05,8.2858e-05,0,0.00016083,221,5.1518,5.1638,0,0,0.00012439,0.00048568,0.60524,0.37086,0.00050493,0.00050316,0,0.00060524,85.592,1
296,2,0.065988,-0.0068156,0,0,0.99918,0.067301,0.33299,1.1918,7.6785e-06,2.4254e-06,0,0.00033299,147.5,10.046,10.048,0,0,0.9994,0.070066,2.2812,2.4913,0.001911,0.0022064,0,0.0022812,295,0.074664,0.019809,0,0,0.9992,0.06684,0.026813,1.0017,9.9202e-08,1.9491e-06,0,2.6813e-05,147,-9.9458,-9.9457,0,0,0.99871,0.066712,0.00048804,1.0015,-0.0018789,-0.0021345,0,4.8804e-07,0,-3.9208,-4.0231,0,0,0.99905,0.066776,0.010958,1.0016,-1.2895e-05,-1.456e-05,0,1.0958e-05,73,3.9993,3.9976,0,0,0.99931,0.066857,0.047968,1.0025,1.1417e-05,1.9441e-05,0,4.7968e-05,221,5.1517,5.1637,0,0,0.00014066,0.0011137,0.70564,0.43615,0.00054613,0.00055755,0,0.00070564,85.592,1
296,3,0.065969,-0.0068334,0,0,0.99887,0.076338,0.45406,1.2632,-1.1805e-05,-8.479e-06,0,0.00045406,147.5,10.044,10.046,0,0,0.99904,0.082354,4.8416,4.9442,0.0024488,0.0035587,0,0.0048416,295,0.074666,0.019802,0,0,0.99888,0.075506,0.091664,1.0058,1.6074e-06,-7.0003e-06,0,9.1664e-05,147,-9.9442,-9.9442,0,0,0.99844,0.075338,0.0044693,1.0019,-0.003418,-0.003429,0,4.4693e-06,0,-3.9208,-4.023,0,0,0.99878,0.075422,0.057948,1.0034,-5.5644e-05,-6.8888e-05,0,5.7948e-05,73,3.9992,3.9975,0,0,0.99896,0.075551,0.11857,1.0087,4.3999e-05,4.3082e-05,0,0.00011857,221,5.1514,5.1634,0,0,0.00011275,0.0019763,0.87677,0.61759,0.0007018,0.00069489,0,0.00087677,85.592,1
296,4,0.065993,-0.0068174,0,0,0.99855,0.082302,0.47356,1.3213,1.0126e-05,1.6875e-06,0,0.00047356,147.5,10.043,10.043,0,0,0.99877,0.089634,4.3567,4.4706,0.0034586,0.0029866,0,0.0043567,295,0.074667,0.019819,0,0,0.99856,0.081055,0.018393,1.0021,2.8499e-06,9.9263e-06,0,1.8393e-05,147,-9.9427,-9.9426,0,0,0.99826,0.08089,0.0021169,1.0018,-0.0027888,-0.0038588,0,2.1169e-06,0,-3.9207,-4.023,0,0,0.99844,0.080983,0.01187,1.002,-6.4488e-06,-3.1106e-06,0,1.187e-05,73,3.9993,3.9975,0,0,0.99865,0.081132,0.056533,1.0033,1.545e-05,1.762e-05,0,5.6533e-05,221,5.1511,5.1632,0,0,0.000124,0.0028789,1.0342,0.74162,0.00079922,0.00080976,0,0.0010342,85.592,1
296,5,0.065978,-0.0068146,0,0,0.99824,0.086319,0.54737,1.3779,-4.0864e-06,6.1555e-06,0,0.00054737,147.5,10.041,10.043,0,0,0.99845,0.095911,4.8173,4.9205,0.0034266,0.0038954,0,0.0048173,295,0.07466,0.019796,0,0,0.99825,0.08466,0.04442,1.0028,-6.4868e-06,-7.4481e-06,0,4.442e-05,147,-9.9411,-9.9411,0,0,0.99801,0.084466,0.0015536,1.0019,-0.0031282,-0.0035109,0,1.5536e-06,0,-3.9207,-4.023,0,0,0.99812,0.084574,0.03159,1.0024,-3.6811e-05,-2.6691e-05,0,3.159e-05,73,3.9992,3.9975,0,0,0.99835,0.084748,0.06652,1.004,2.5351e-05,3.0847e-05,0,6.652e-05,221,5.1509,5.1629,0,0,0.00011977,0.0038241,1.1662,0.87346,0.00090462,0.00091769,0,0.0011662,85.592,1
296,6,0.065987,-0.0068236,0,0,0.99792,0.08902,0.61145,1.4393,4.1474e-06,-3.2882e-06,0,0.00061145,147.5,10.04,10.04,0,0,0.99814,0.10064,6.822,6.8953,0.005906,0.0044366,0,0.006822,295,0.074671,0.019811,0,0,0.99792,0.086934,0.049498,1.0029,5.4016e-06,1.3643e-06,0,4.9498e-05,147,-9.9395,-9.9394,0,0,0.99752,0.086769,0.0011296,1.0018,-0.0035289,-0.004136,0,1.1296e-06,0,-3.9208,-4.023,0,0,0.9978,0.086854,0.020156,1.002,-2.526e-05,-3.2825e-05,0,2.0156e-05,73,3.9992,3.9975,0,0,0.99803,0.087017,0.07055,1.0041,2.2888e-05,1.3867e-05,0,7.055e-05,221,5.1506,5.1627,0,0,0.00013187,0.0047807,1.3243,1.0284,0.0010385,0.0010249,0,0.0013243,85.592,1
296,7,0.066001,-0.0068197,0,0,0.99759,0.090942,0.65424,1.4906,1.817e-05,-1.9861e-06,0,0.00065424,147.5,10.038,10.039,0,0,0.99782,0.10479,6.577,6.653,0.0060769,0.0040345,0,0.006577,295,0.074661,0.019811,0,0,0.9976,0.088427,0.02436,1.0018,-2.6367e-06,2.42e-06,0,2.436e-05,147,-9.9377,-9.9378,0,0,0.99715,0.088244,0.0011195,1.0014,-0.0038783,-0.0039493,0,1.1195e-06,0,-3.9207,-4.023,0,0,0.99746,0.088345,0.013323,1.0017,-1.3648e-05,-6.0489e-06,0,1.3323e-05,73,3.9992,3.9975,0,0,0.99771,0.088519,0.063057,1.0035,1.5405e-05,2.3437e-05,0,6.3057e-05,221,5.1503,5.1624,0,0,0.00014162,0.0057499,1.445,1.1379,0.0011348,0.0011089,0,0.001445,85.592,1
296,8,0.065979,-0.0068027,0,0,0.99722,0.092318,0.74277,1.5578,-6.8299e-06,1.4778e-05,0,0.00074277,147.5,10.036,10.038,0,0,0.99746,0.10867,6.9955,7.067,0.0045685,0.0052661,0,0.0069955,295,0.074669,0.019803,0,0,0.99721,0.089386,0.051742,1.0026,-1.9372e-06,-1.7058e-06,0,5.1742e-05,147,-9.936,-9.9359,0,0,0.99696,0.089201,0.0034452,1.0013,-0.0060563,-0.0044447,0,3.4452e-06,0,-3.9207,-4.023,0,0,0.9971,0.089288,0.033898,1.0019,-3.9827e-05,-3.8119e-05,0,3.3898e-05,73,3.9992,3.9975,0,0,0.99733,0.089488,0.092489,1.0055,2.1284e-05,3.4183e-05,0,9.2489e-05,221,5.15,5.1621,0,0,0.00013502,0.0067167,1.5881,1.2834,0.0012456,0.0012345,0,0.0015881,85.592,1
296,9,0.065997,-0.0068202,0,0,0.99686,0.093343,0.78886,1.6158,8.7222e-06,-5.8411e-06,0,0.00078886,147.5,10.034,10.035,0,0,0.99713,0.11179,7.1351,7.2052,0.0052106,0.0052181,0,0.0071351,295,0.074661,0.019811,0,0,0.99686,0.089997,0.035297,1.0015,3.6396e-06,-1.6945e-06,0,3.5297e-05,147,-9.9343,-9.9341,0,0,0.99649,0.089819,0.001472,1.0009,-0.0046122,-0.0070732,0,1.472e-06,0,-3.9208,-4.023,0,0,0.99672,0.089901,0.01536,1.0012,-8.9097e-06,-2.1697e-05,0,1.536e-05,73,3.9992,3.9975,0,0,0.99699,0.090096,0.067445,1.0032,3.2905e-05,1.2459e-05,0,6.7445e-05,221,5.1498,5.1618,0,0,0.00015546,0.0076528,1.7273,1.4122,0.0013235,0.0013625,0,0.0017273,85.592,1
