"N","Time","avg(X)","avg(Y)","avg(Z)","avg(concentrations (0))","avg(concentrations (1))","avg(concentrations (2))","avg(concentrations (3))","avg(concentrations (Magnitude))","avg(fa_u (0))","avg(fa_u (1))","avg(fa_u (2))","avg(fa_u (Magnitude))","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(concentrations (0))","max(concentrations (1))","max(concentrations (2))","max(concentrations (3))","max(concentrations (Magnitude))","max(fa_u (0))","max(fa_u (1))","max(fa_u (2))","max(fa_u (Magnitude))","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(concentrations (0))","med(concentrations (1))","med(concentrations (2))","med(concentrations (3))","med(concentrations (Magnitude))","med(fa_u (0))","med(fa_u (1))","med(fa_u (2))","med(fa_u (Magnitude))","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(concentrations (0))","min(concentrations (1))","min(concentrations (2))","min(concentrations (3))","min(concentrations (Magnitude))","min(fa_u (0))","min(fa_u (1))","min(fa_u (2))","min(fa_u (Magnitude))","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(concentrations (0))","q1(concentrations (1))","q1(concentrations (2))","q1(concentrations (3))","q1(concentrations (Magnitude))","q1(fa_u (0))","q1(fa_u (1))","q1(fa_u (2))","q1(fa_u (Magnitude))","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(concentrations (0))","q3(concentrations (1))","q3(concentrations (2))","q3(concentrations (3))","q3(concentrations (Magnitude))","q3(fa_u (0))","q3(fa_u (1))","q3(fa_u (2))","q3(fa_u (Magnitude))","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(concentrations (0))","std(concentrations (1))","std(concentrations (2))","std(concentrations (3))","std(concentrations (Magnitude))","std(fa_u (0))","std(fa_u (1))","std(fa_u (2))","std(fa_u (Magnitude))","std(vtkOriginalPointIds)","vtkValidPointMask"
296,0,0.065978,-0.0068239,0,0,0.99999,0.032449,0.20821,1.0983,5.8539e-08,4.6221e-08,0,6.6253e-06,147.5,10.05,10.05,0,0,0.99999,0.032901,1.3197,1.6561,4.0232e-05,4.0561e-05,0,4.1993e-05,295,0.074662,0.019809,0,0,0.99999,0.032367,0.0071709,1.0005,8.7772e-10,-1.5868e-09,0,2.2818e-07,147,-9.9499,-9.9499,0,0,0.99999,0.032365,0.00065906,1.0005,-3.9312e-05,-3.9711e-05,0,2.0971e-08,0,-3.9208,-4.0231,0,0,0.99999,0.032366,0.0042539,1.0005,-1.311e-07,-1.3586e-07,0,1.3536e-07,73,3.9994,3.9976,0,0,0.99999,0.032367,0.0082321,1.0005,1.2253e-07,1.2846e-07,0,2.6195e-07,221,5.1523,5.1644,0,0,1.1333e-06,0.00018834,0.46066,0.22286,1.137e-05,1.1385e-05,0,1.4658e-05,85.592,1
296,1,0.065978,-0.0068238,0,0,0.99997,0.053576,0.43784,1.3012,1.1582e-07,9.607e-08,0,1.3932e-05,147.5,10.05,10.05,0,0,0.99997,0.055581,2.7984,2.9722,8.548e-05,8.6011e-05,0,8.9045e-05,295,0.074662,0.019809,0,0,0.99997,0.05321,0.0079315,1.0014,1.104e-09,1.6536e-09,0,2.5238e-07,147,-9.9498,-9.9498,0,0,0.99997,0.053204,0.00035044,1.0014,-8.3859e-05,-8.4611e-05,0,1.1151e-08,0,-3.9208,-4.0231,0,0,0.99997,0.053207,0.0033965,1.0014,-1.2541e-07,-1.2771e-07,0,1.0808e-07,73,3.9994,3.9976,0,0,0.99997,0.053211,0.0094113,1.0014,1.3284e-07,1.4372e-07,0,2.9947e-07,221,5.1523,5.1644,0,0,1.1952e-06,0.0008359,0.98302,0.68275,2.4206e-05,2.4233e-05,0,3.128e-05,85.592,1
296,2,0.065978,-0.0068232,0,0,0.99996,0.067399,0.47176,1.337,1.0922e-07,3.3979e-07,0,1.5011e-05,147.5,10.05,10.05,0,0,0.99996,0.071607,3.117,3.2743,9.5104e-05,9.5805e-05,0,9.9184e-05,295,0.074662,0.019809,0,0,0.99996,0.066633,0.0034758,1.0022,-9.1583e-11,6.9141e-09,0,1.106e-07,147,-9.9498,-9.9498,0,0,0.99995,0.066621,0.00051893,1.0022,-9.3491e-05,-9.4046e-05,0,1.6512e-08,0,-3.9208,-4.0231,0,0,0.99995,0.066627,0.0030154,1.0022,-7.542e-08,-6.978e-08,0,9.5949e-08,73,3.9994,3.9976,0,0,0.99996,0.066635,0.0049682,1.0022,8.9085e-08,8.2647e-08,0,1.5809e-07,221,5.1523,5.1644,0,0,1.4958e-06,0.00175,1.0782,0.77467,2.6336e-05,2.6637e-05,0,3.431e-05,85.592,1
296,3,0.065978,-0.0068233,0,0,0.99994,0.076524,0.55978,1.4214,4.422e-08,2.0501e-07,0,1.7812e-05,147.5,10.05,10.05,0,0,0.99995,0.083365,3.619,3.7555,0.00011075,0.00011123,0,0.00011516,295,0.074662,0.019809,0,0,0.99994,0.075276,0.0019549,1.0028,3.2182e-09,1.1889e-08,0,6.2205e-08,147,-9.9497,-9.9497,0,0,0.99994,0.07526,3.7657e-05,1.0028,-0.0001093,-0.00010981,0,1.1983e-09,0,-3.9208,-4.0231,0,0,0.99994,0.075268,0.0013395,1.0028,-3.6649e-08,-3.1152e-08,0,4.2624e-08,73,3.9994,3.9976,0,0,0.99994,0.075278,0.004224,1.0028,5.7486e-08,4.8483e-08,0,1.3441e-07,221,5.1523,5.1644,0,0,1.0918e-06,0.0028488,1.272,0.95613,3.1282e-05,3.1272e-05,0,4.0475e-05,85.592,1
296,4,0.065979,-0.0068236,0,0,0.99993,0.082612,0.59845,1.4572,6.654e-08,-1.9695e-07,0,1.9043e-05,147.5,10.05,10.05,0,0,0.99994,0.092299,4.9946,5.0945,0.00011715,0.00011746,0,0.00015893,295,0.074662,0.019809,0,0,0.99993,0.08084,0.0059959,1.0032,7.1442e-10,2.2162e-08,0,1.9079e-07,147,-9.9497,-9.9497,0,0,0.99993,0.080822,0.00021567,1.0032,-0.00013814,-0.00011607,0,6.8628e-09,0,-3.9208,-4.0231,0,0,0.99993,0.080832,0.0028557,1.0032,-9.2031e-08,-8.8497e-08,0,9.0867e-08,73,3.9994,3.9976,0,0,0.99993,0.080843,0.0070043,1.0032,8.5472e-08,1.247e-07,0,2.2288e-07,221,5.1523,5.1644,0,0,9.3326e-07,0.0040419,1.3596,1.0428,3.3748e-05,3.3114e-05,0,4.3263e-05,85.592,1
296,5,0.065979,-0.0068232,0,0,0.99992,0.086732,0.69658,1.5546,2.3752e-07,3.9268e-07,0,2.2165e-05,147.5,10.05,10.05,0,0,0.99992,0.099364,5.9402,6.0246,0.00013743,0.00017463,0,0.00018902,295,0.074662,0.019809,0,0,0.99992,0.08442,0.0018435,1.0035,-1.355e-08,-1.6006e-08,0,5.866e-08,147,-9.9496,-9.9496,0,0,0.99991,0.084404,0.00023363,1.0035,-0.00013535,-0.00013586,0,7.434e-09,0,-3.9208,-4.0231,0,0,0.99992,0.084413,0.0012012,1.0035,-5.6347e-08,-4.7674e-08,0,3.8221e-08,73,3.9994,3.9976,0,0,0.99992,0.084425,0.0036077,1.0035,4.2524e-08,1.0192e-08,0,1.148e-07,221,5.1523,5.1643,0,0,1.4119e-06,0.0052696,1.5872,1.2616,3.866e-05,3.9354e-05,0,5.0503e-05,85.592,1
296,6,0.065978,-0.0068237,0,0,0.99991,0.089588,0.74219,1.5993,1.6497e-07,-9.8653e-08,0,2.3617e-05,147.5,10.05,10.05,0,0,0.99991,0.10521,5.5315,5.6221,0.00014665,0.00014812,0,0.00017601,295,0.074662,0.019809,0,0,0.99991,0.086723,0.0024966,1.0037,7.6745e-09,6.4407e-09,0,7.9441e-08,147,-9.9495,-9.9495,0,0,0.99991,0.08671,5.2258e-05,1.0037,-0.00014735,-0.0001452,0,1.6628e-09,0,-3.9208,-4.0231,0,0,0.99991,0.086717,0.0010804,1.0037,-5.1443e-08,-9.5392e-09,0,3.4377e-08,73,3.9994,3.9976,0,0,0.99991,0.086728,0.0031824,1.0037,5.6732e-08,4.9039e-08,0,1.0126e-07,221,5.1523,5.1643,0,0,9.282e-07,0.0065271,1.689,1.3603,4.1765e-05,4.1276e-05,0,5.3744e-05,85.592,1
296,7,0.065978,-0.006823,0,0,0.99989,0.091619,0.83985,1.6959,-9.6926e-08,2.2678e-07,0,2.6724e-05,147.5,10.05,10.05,0,0,0.9999,0.11023,6.9055,6.9783,0.00016518,0.00021224,0,0.00021973,295,0.074662,0.019809,0,0,0.99989,0.088206,0.00096049,1.0038,2.4617e-09,-1.3371e-09,0,3.0563e-08,147,-9.9495,-9.9495,0,0,0.99989,0.088194,6.4683e-06,1.0038,-0.00016307,-0.00016378,0,2.0582e-10,0,-3.9208,-4.0231,0,0,0.99989,0.088201,0.00047349,1.0038,-1.3013e-08,-2.4813e-08,0,1.5067e-08,73,3.9994,3.9976,0,0,0.99989,0.08821,0.0015812,1.0038,1.4953e-08,1.2038e-08,0,5.0312e-08,221,5.1523,5.1643,0,0,1.076e-06,0.0077749,1.9164,1.583,4.6563e-05,4.7611e-05,0,6.0978e-05,85.592,1
296,8,0.065979,-0.0068231,0,0,0.99988,0.093114,0.91029,1.7647,1.2815e-07,2.938e-07,0,2.8965e-05,147.5,10.049,10.049,0,0,0.99988,0.11468,6.9935,7.0656,0.00017975,0.00020564,0,0.00022253,295,0.074662,0.019809,0,0,0.99988,0.08916,0.001286,1.0038,-7.8251e-09,-6.1106e-09,0,4.092e-08,147,-9.9494,-9.9494,0,0,0.99988,0.08915,0.00014688,1.0038,-0.00017766,-0.00017828,0,4.6738e-09,0,-3.9208,-4.0231,0,0,0.99988,0.089156,0.0010103,1.0038,-3.1823e-08,-2.7566e-08,0,3.2147e-08,73,3.9994,3.9976,0,0,0.99988,0.089165,0.0023063,1.0039,3.5343e-08,2.1202e-08,0,7.3386e-08,221,5.1523,5.1643,0,0,1.2805e-06,0.0090067,2.0725,1.736,5.0572e-05,5.1315e-05,0,6.5947e-05,85.592,1
296,9,0.065978,-0.0068234,0,0,0.99987,0.094262,0.9768,1.8304,7.7926e-08,-1.3781e-09,0,3.1082e-05,147.5,10.049,10.049,0,0,0.99987,0.11872,7.4992,7.5664,0.00019997,0.00019669,0,0.00023862,295,0.074662,0.019809,0,0,0.99987,0.089774,0.0015648,1.0039,9.1209e-09,4.2152e-09,0,4.9793e-08,147,-9.9494,-9.9493,0,0,0.99986,0.089765,9.1806e-05,1.0039,-0.00018928,-0.00022388,0,2.9213e-09,0,-3.9208,-4.0231,0,0,0.99986,0.08977,0.00089585,1.0039,-2.4957e-08,-2.6409e-08,0,2.8506e-08,73,3.9994,3.9976,0,0,0.99987,0.089778,0.0022551,1.0039,3.5002e-08,2.5823e-08,0,7.1757e-08,221,5.1522,5.1643,0,0,1.2802e-06,0.010223,2.2279,1.8898,5.4441e-05,5.5057e-05,0,7.0892e-05,85.592,1
